"Time period","Coal","Nuclear","CCGT","Hydro","Geothermal","Diesel"
"t392",0.00,11170.00,15393.40,703.20,0.00,0.00
"t393",0.00,11170.00,15858.80,703.20,0.00,0.00
"t394",0.00,11170.00,15877.60,703.20,0.00,0.00
"t395",0.00,11170.00,15897.00,703.20,0.00,0.00
"t396",0.00,11170.00,15963.60,703.20,0.00,0.00
"t397",0.00,11170.00,15598.10,703.20,0.00,0.00
"t398",0.00,11170.00,13898.00,703.20,0.00,0.00
"t399",0.00,11170.00,11968.50,703.20,0.00,0.00
"t400",0.00,11170.00,9621.90,703.20,0.00,0.00
"t401",0.00,11170.00,8445.10,703.20,0.00,0.00
"t402",0.00,11170.00,9320.30,703.20,0.00,0.00
"t403",0.00,11170.00,10444.70,703.20,0.00,0.00
"t404",0.00,11170.00,11219.00,703.20,0.00,0.00
"t405",0.00,11170.00,13086.20,703.20,0.00,0.00
"t406",0.00,11170.00,15077.40,703.20,0.00,0.00
"t407",0.00,11170.00,15398.40,703.20,0.00,0.00
"t408",0.00,11170.00,15476.40,703.20,0.00,0.00
"t409",0.00,11170.00,16081.60,703.20,0.00,0.00
"t410",0.00,11170.00,16556.00,703.20,0.00,0.00
"t411",0.00,11170.00,17231.00,703.20,0.00,0.00
"t412",0.00,11170.00,17774.80,703.20,0.00,0.00
"t413",0.00,11170.00,18823.80,703.20,0.00,0.00
"t414",0.00,11170.00,19763.00,703.20,0.00,0.00
"t415",1387.20,11170.00,19800.00,703.20,0.00,0.00
"t416",3306.80,11170.00,19800.00,703.20,0.00,0.00
"t417",3817.20,11170.00,19800.00,703.20,0.00,0.00
"t418",2205.80,11170.00,19800.00,703.20,0.00,0.00
"t419",0.00,11170.00,19720.00,703.20,0.00,0.00
"t420",0.00,11170.00,17271.80,703.20,0.00,0.00
"t421",0.00,11170.00,15008.60,703.20,0.00,0.00
"t422",0.00,11170.00,10783.80,703.20,0.00,0.00
"t423",0.00,11170.00,6065.60,703.20,0.00,0.00
"t424",0.00,11170.00,3943.10,703.20,0.00,0.00
